slug,title,age,stars,summary,author,year,image,url,list
dona-flor-a-tall-tale-about-a-giant-woman-with-a-great-big-heart,Dona Flor: A Tall Tale About a Giant Woman with a Great Big Heart,3+,4,A giant saves the day in muy magical story.,Pat Mora,2006,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/donaflor-cover.jpg,https://www.commonsensemedia.org/book-reviews/dona-flor-a-tall-tale-about-a-giant-woman-with-a-great-big-heart,multicultural-books
twas-nochebuena,'Twas Nochebuena,4+,4,Sweet bilingual tale of Latino Christmas Eve traditions.,Roseanne Greenfield Thong,2014,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/20821234.jpg,https://www.commonsensemedia.org/book-reviews/twas-nochebuena,multicultural-books
a-pinata-in-a-pine-tree-a-latino-twelve-days-of-christmas,A Piñata in a Pine Tree: A Latino Twelve Days of Christmas,4+,5,"Classic carol brims with Spanish words, Mexican traditions.",Pat Mora,2009,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/a-pinata-in-a-pine-tree.jpg,https://www.commonsensemedia.org/book-reviews/a-pinata-in-a-pine-tree-a-latino-twelve-days-of-christmas,multicultural-books
all-the-way-to-havana,All the Way to Havana,4+,5,Celebration of Cuban family and ingenuity has gorgeous art.,Margarita Engle,2017,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/51yx04qv4el-sy387-bo1204203200.jpg,https://www.commonsensemedia.org/book-reviews/all-the-way-to-havana,multicultural-books
gai-see-what-you-can-see-in-chinatown,Gai See: What You Can See in Chinatown,4+,4,"Colorful, seasonal peek at Cantonese food and fun.",Roseanne Thong,2007,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/8097-orig.jpg,https://www.commonsensemedia.org/book-reviews/gai-see-what-you-can-see-in-chinatown,multicultural-books
little-skeletons-esqueletitos-countdown-to-midnight,Little Skeletons / Esqueletitos: Countdown to Midnight,4+,4,"Fun, rhythmic, bilingual Day of the Dead romp.",Susie Jaramillo,2018,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/little-skeletonesqueletitos-count-down-to-midnight-min.jpg,https://www.commonsensemedia.org/book-reviews/little-skeletons-esqueletitos-countdown-to-midnight,multicultural-books
my-abuelita,My Abuelita,4+,5,Robust artwork with a Latino touch celebrates storytelling.,Tony Johnston,2009,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/abuelita.jpg,https://www.commonsensemedia.org/book-reviews/my-abuelita,multicultural-books
nino-wrestles-the-world,Niño Wrestles the World,4+,5,Boy plays Mexican wrestler in exuberant bilingual tale.,Yuyi Morales,2014,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/61o11g36wal-sy498-bo1204203200.jpg,https://www.commonsensemedia.org/book-reviews/nino-wrestles-the-world,multicultural-books
octopus-stew,Octopus Stew,4+,4,"Octopus adventure celebrates imagination, Latino culture.",Eric Velásquez,2019,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/octopusstew-book-image.jpg,https://www.commonsensemedia.org/book-reviews/octopus-stew,multicultural-books
our-favorite-day-of-the-year,Our Favorite Day of the Year,4+,5,"Warm celebration of various cultures' holidays, traditions.",A.E. Ali,2020,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/cover-art.jpeg,https://www.commonsensemedia.org/book-reviews/our-favorite-day-of-the-year,multicultural-books
paletero-man,Paletero Man,4+,5,Refreshing tale celebrates Chicano culture and community.,Lucky Diaz,2021,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/paleteroman-book-image.jpg,https://www.commonsensemedia.org/book-reviews/paletero-man,multicultural-books
sulwe,Sulwe,4+,5,Girl learns to embrace her dark skin in magical tale.,Lupita Nyong'o,2019,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/sulwe-book-cover-image.jpg,https://www.commonsensemedia.org/book-reviews/sulwe,multicultural-books
the-proudest-blue-a-story-of-hijab-and-family,The Proudest Blue: A Story of Hijab and Family,4+,5,"Vivid art, powerful story about sisters overcoming bigotry.",Ibtihaj Muhammad,2019,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/the-proudest-blue-book-cover-image2.jpg,https://www.commonsensemedia.org/book-reviews/the-proudest-blue-a-story-of-hijab-and-family,multicultural-books
tiny-travelers-mexico-treasure-quest,Tiny Travelers Mexico Treasure Quest,4+,5,Colorful search-and-find journey through Mexico.,Steven Wolfe Pereira,2019,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/tinytravelersmexicotreasurequest-book-image.jpg,https://www.commonsensemedia.org/book-reviews/tiny-travelers-mexico-treasure-quest,multicultural-books
tortillas-are-round-las-tortillas-son-redondas,Tortillas are Round / Las tortillas son redondas,4+,4,Fun bilingual book of shapes celebrates Mexican culture.,Roseanne Greenfield Thong,2019,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/tortillas-are-round.jpeg,https://www.commonsensemedia.org/book-reviews/tortillas-are-round-las-tortillas-son-redondas,multicultural-books
yo-soy-muslim-a-fathers-letter-to-his-daughter,Yo Soy Muslim: A Father's Letter to His Daughter,4+,4,Poetic call to be proud of your heritage in a diverse world.,Mark Gonzales,2017,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/61sqiyvvb3l-sx258-bo1204203200.jpg,https://www.commonsensemedia.org/book-reviews/yo-soy-muslim-a-fathers-letter-to-his-daughter,multicultural-books
dont-let-the-pigeon-drive-the-bus,Don't Let the Pigeon Drive the Bus!,2+,4,Silliness that appeals to preschoolers.,Mo Willems,2004,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/1971-orig.jpg,https://www.commonsensemedia.org/book-reviews/dont-let-the-pigeon-drive-the-bus,50-books-all-kids-should-read
goodnight-moon,Goodnight Moon,2+,5,Ultimate going-to-bed book has stood the test of time.,Margaret Wise Brown,1947,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/goodnight-moon.jpg,https://www.commonsensemedia.org/book-reviews/goodnight-moon,50-books-all-kids-should-read
goodnight-goodnight-construction-site,"Goodnight, Goodnight, Construction Site",2+,5,Charming bedtime book is magic for truck lovers.,Sherri Duskey Rinker,2011,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/goodnight-goodnight-construction-site-book-cover-image.jpg,https://www.commonsensemedia.org/book-reviews/goodnight-goodnight-construction-site,50-books-all-kids-should-read
harold-and-the-purple-crayon,Harold and the Purple Crayon,2+,5,Imagination reigns in timeless classic about drawing boy.,Crockett Johnson,1955,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/harold.jpg,https://www.commonsensemedia.org/book-reviews/harold-and-the-purple-crayon,50-books-all-kids-should-read
the-very-hungry-caterpillar,The Very Hungry Caterpillar,2+,5,"Funny, colorful look at caterpillar's development.",Eric Carle,1970,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/the-very-hungry-caterpillar-book-cover2.jpeg,https://www.commonsensemedia.org/book-reviews/the-very-hungry-caterpillar,50-books-all-kids-should-read
where-the-wild-things-are,Where the Wild Things Are,2+,5,Classic all-ages masterpiece has a wild imagination.,Maurice Sendak,1969,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/5108-orig.jpg,https://www.commonsensemedia.org/book-reviews/where-the-wild-things-are,50-books-all-kids-should-read
we-are-water-protectors,We Are Water Protectors,3+,5,"Powerful words, vibrant images inspire care for the earth.",Carole Lindstrom,2020,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/wearewaterprotectors-book-image.jpg,https://www.commonsensemedia.org/book-reviews/we-are-water-protectors,50-books-all-kids-should-read
big,Big,4+,4,Powerful picture book about girl who's told she's too big.,Vashti Harrison,2023,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/big-book-cover-image-3.jpg,https://www.commonsensemedia.org/book-reviews/big,50-books-all-kids-should-read
julian-is-a-mermaid,Julián Is a Mermaid,4+,5,"In touching story and art, boy imagines he's a mermaid.",Jessica Love,2018,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/51j53d7e1zl.jpg,https://www.commonsensemedia.org/book-reviews/julian-is-a-mermaid,50-books-all-kids-should-read
knight-owl,Knight Owl,4+,5,Adorable owl befriends dragon in outstanding fantasy tale.,Christopher Denise,2022,https://www.commonsensemedia.org/sites/default/files/styles/ratio_x_y_medium/public/product-images/csm-book/night-owl-book-cover.jpeg,https://www.commonsensemedia.org/book-reviews/knight-owl,50-books-all-kids-should-read
madeline,Madeline,4+,5,Rhyming classic is a sure winner with kids.,Ludwig Bemelmans,1977,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/madeline.jpg,https://www.commonsensemedia.org/book-reviews/madeline,50-books-all-kids-should-read
the-cat-in-the-hat,The Cat in the Hat,4+,5,The kids' classic that put Dr. Seuss on the map.,Dr. Seuss,1957,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/1036-orig.jpg,https://www.commonsensemedia.org/book-reviews/the-cat-in-the-hat,50-books-all-kids-should-read
charlie-and-the-chocolate-factory,Charlie and the Chocolate Factory,6+,5,Classic morality tale is wildly entertaining.,Roald Dahl,1964,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/1085-orig.jpg,https://www.commonsensemedia.org/book-reviews/charlie-and-the-chocolate-factory,50-books-all-kids-should-read
ivy-bean-book-1,"Ivy + Bean, Book 1",6+,5,Friendship tale a sure hit with kids starting chapter books.,Annie Barrows,2007,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/6589-orig.jpg,https://www.commonsensemedia.org/book-reviews/ivy-bean-book-1,50-books-all-kids-should-read
stuart-little,Stuart Little,6+,4,Excellent bridge from chapter books to novels.,E.B. White,1945,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/1048-orig.jpg,https://www.commonsensemedia.org/book-reviews/stuart-little,50-books-all-kids-should-read
where-the-sidewalk-ends,Where the Sidewalk Ends,6+,5,"Irresistible collection of clever, hilarious poems.",Shel Silverstein,2004,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/where-the-sidewalk-ends-book.jpg,https://www.commonsensemedia.org/book-reviews/where-the-sidewalk-ends,50-books-all-kids-should-read
charlottes-web,Charlotte's Web,7+,5,"Gentle, much-loved barnyard classic delights all ages.",E.B. White,1952,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/5046-orig.jpg,https://www.commonsensemedia.org/book-reviews/charlottes-web,50-books-all-kids-should-read
daulaires-book-of-greek-myths,D'Aulaires' Book of Greek Myths,8+,4,"Action-packed, fascinating intro to Greek myths.",Ingri d'Aulaire,1962,https://www.commonsensemedia.org/sites/default/files/styles/ratio_2_3_medium/public/product-images/csm-book/1096-orig.jpg,https://www.commonsensemedia.org/book-reviews/daulaires-book-of-greek-myths,50-books-all-kids-should-read
