name,credentials,category,description,city,zip,online,state,url,type
"Expecting/New Fathers","Marriage & Family Therapist Associate","parenting","Fatherhood changes everything — your relationship, your sense of self, your sleep. But most men are expected to figure it out quietly. This men's process group is a dedicated space for expecting and new fathers to speak openly, be heard, and connect with others navigating the same terrain. We explore the emotional and relational shifts of early fatherhood — the anxiety, the identity questions, the stuff that's hard to say out loud. Whether you're thrilled, terrified, or somewhere in between, the","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/expectingnew-fathers-los-angeles-ca/285662","group"
"Parenting Groups","Clinical Social Work/Therapist, LCSW","parenting",", Cooperation and Logical Consequences, and Personal Safety. There are eight sessions that are 2 hours each. Curriculum, video, and handouts are provided along with lively group discussions.","Los Angeles","90056","no","CA","https://www.psychologytoday.com/us/groups/parenting-groups-los-angeles-ca/15037","group"
"Soothe - play/support grp for babies & caregivers","Marriage & Family Therapist, LMFT, RDT, ECMH","parenting","Soothe is a 10 wk grp for newborns to early walkers focusing soothing the caregiver while soothing the baby. Over the course of the 10 wks we will develop & expand upon the coping & soothing strategies the caregiver & baby have developed. Each session we use expressive arts, baby massage, developmental and sensory play to build connection & attachment between mother & child & support & community  within the group. Working with consistency, predictability and routine we will develop archival, hei","Los Angeles","90027","no","CA","https://www.psychologytoday.com/us/groups/soothe-playsupport-grp-for-babies-caregivers-los-angeles-ca/34432","group"
"Reflective Parenting","Clinical Social Work/Therapist, MSW","parenting","skills, most notably the capacity to make meaning out of a child's behavior.  Topics include: temperament, responding to children's emotions, separation and the development of independence, play and parental involvement, discipline, and the emotional life of the","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/reflective-parenting-los-angeles-ca/242778","group"
"Life After Birth® Conscious Parenting Circle","Marriage & Family Therapist, MA, LMFT","parenting","A monthly virtual gathering for toddler/pre-schooler moms to receive connection, coping skills and support.","Los Angeles","90049","no","CA","https://www.psychologytoday.com/us/groups/life-after-birth-conscious-parenting-circle-los-angeles-ca/168518","group"
"The Guys Group","Marriage & Family Therapist Associate, AMFT","parenting","The Guys Group is a safe, judgment-free place to process what it’s like to be a man in our evolving world and who we want to be in it. This is a place for men of any age to talk about anything on their minds. You’ll get and provide support, learn about yourself and others, and get feedback on how the world sees you. With any luck you’ll learn about your patterns, both good and bad, and decide if you’d like to be more intentional about how you live your life.","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/the-guys-group-los-angeles-ca/266531","group"
"LGBT Parents Therapy Group - Online","Psychologist, PsyD, MBA","parenting","as an LGBTQIA+ (lesbian, gay, bisexual, transgender, queer, intersex, asexual or other sexual or gender expansive identity) individual can come with unique challenges, from navigating societal expectations to managing complex family dynamics. This group offers a supportive and inclusive space for LGBTQIA+","Los Angeles","90068","no","CA","https://www.psychologytoday.com/us/groups/lgbt-parents-therapy-group-online-los-angeles-ca/273771","group"
"Mother's Support Group","Marriage & Family Therapist, MA, LMFT","parenting","Our Mother's Support Group is a space to emotionally and socially support mothers with infants and toddlers (0-3yrs). Our support group provides a place for moms to share their experiences and feel validated while navigating the challenges that come with balancing motherhood and the many other roles we hold.","Los Angeles","90038","no","CA","https://www.psychologytoday.com/us/groups/mothers-support-group-los-angeles-ca/250569","group"
"Parenting Under Pressure Group","Psychologist, PsyD, LMFT","parenting","stress, identity loss, and self-compassion. Each 90-minute session includes guided discussion, coping strategies, and peer validation in a judgment-free space. Open to","Los Angeles","90024","no","CA","https://www.psychologytoday.com/us/groups/parenting-under-pressure-group-los-angeles-ca/265911","group"
"Once Around the Lake","Marriage & Family Therapist, LMFT, RDT, ECMH","parenting","","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/once-around-the-lake-los-angeles-ca/44939","group"
"The Wright Mommy, Daddy and Me","Pre-Licensed Professional, PhD, EdM","parenting","Weekly 90 minute classes, led by psychotherapists, nurture your adjustment to parenthood, explore many topics during baby’s first year and cultivate your “village!"" We also laugh, sing, have fun, check in on your babies and give you time to chat and bond with each other.  Classes include but are not limited to:  * Topics spanning baby’s first year * The Happy Sleeper approach * Research based information * Mindful","Los Angeles","90094","no","CA","https://www.psychologytoday.com/us/groups/the-wright-mommy-daddy-and-me-los-angeles-ca/189540","group"
"Nonviolent Parenting","Marriage & Family Therapist, LMFT","parenting","involves a paradigm shift from the dominant paradigm of using ""power over"" children to ""powering with"" children to achieve a greater connection, enhance emotional intelligence and provide support.","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/nonviolent-parenting-los-angeles-ca/101457","group"
"Comprehensive Adult DBT Group West LA","Marriage & Family Therapist, LMFT, LPCC, MA","parenting","In our DBT group, we meet with adults where we teach mindfulness, distress tolerance, emotion regulation, and effective communication skills for the first hour. The group focuses on implementing real life and real time examples of the skills being learned. Learn More at: RealHonestTherapy.com","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/comprehensive-adult-dbt-group-west-la-los-angeles-ca/237316","group"
"Adoptive and Foster Parent Support Group - Virtual","Marriage & Family Therapist, LMFT, MA","parenting","to come together to share stories, thoughts, feelings, ideas, receive psycho-education, process grief/loss, and build strong bonds/connections. DATES & MORE INFO: https://tinyurl.com/56svn7rm","Los Angeles","90024","no","CA","https://www.psychologytoday.com/us/groups/adoptive-and-foster-parent-support-group-virtual-los-angeles-ca/204633","group"
"Mothers' Process Group","Marriage & Family Therapist, LMFT, MBA","parenting","have a chance to discover how they think and why they react the way they do. Process group is a safe, confidential place to learn new information, help you change, and feel better.  Benefits of the Group:  develop an understanding of your","Los Angeles","90045","no","CA","https://www.psychologytoday.com/us/groups/mothers-process-group-los-angeles-ca/148923","group"
"Training Wheels for Toddler Parents","Psychologist, PsyD, BC-DMT","parenting","","Los Angeles","90045","no","CA","https://www.psychologytoday.com/us/groups/training-wheels-for-toddler-parents-los-angeles-ca/87850","group"
"parenting groups","Marriage & Family Therapist, MA, MFT","parenting","","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/parenting-groups-los-angeles-ca/43059","group"
"Footbaggers for Mental Health","Psychiatric Nurse Practitioner, RN-MSN, PMHNP, ACAB","adhd","we hackey sack and spend time together. talk and stuff","Los Angeles","90027","no","CA","https://www.psychologytoday.com/us/groups/footbaggers-for-mental-health-los-angeles-ca/248011","group"
"Vista Mental Health","Psychiatrist, MD","adhd","Our therapists and psychiatrists provide quality mental health care to our local community.","Los Angeles","90066","no","CA","https://www.psychologytoday.com/us/groups/vista-mental-health-los-angeles-ca/278787","group"
"Inside Voices Somatic Part Work(shop)","Marriage & Family Therapist, LMFT","adhd","Learn the skills needed to slow down and mindfully identify the different voices (or parts) within you. Understand what voice is emerging, the language that isn't serving you, and how to create space for a different story. This live online workshop synthesizes the most effective tools for changing negative internal voices while creating space for a different part to speak. We’ll utilize internal resources and move into a guided meditation to integrate and connect these parts.  Adults who struggl","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/inside-voices-somatic-part-workshop-los-angeles-ca/275153","group"
"Neurodivergent Young Adult Support Group","Marriage & Family Therapist, LMFT","adhd","A space for young adults 18-21 who identify as neurodivergent and want extra support navigating the transition into adulthood. In this group, we’ll focus on exploring ways to manage stress and neurodivergent burnout, learn real-world coping skills, maximize your personal autonomy, and build confidence and genuine connection.","Los Angeles","90046","no","CA","https://www.psychologytoday.com/us/groups/neurodivergent-young-adult-support-group-los-angeles-ca/272703","group"
"ADHD Group","Marriage & Family Therapist, MA, LMFT","adhd",", this group will provide a space to process various aspects of being neurodiverse, including: transitions, problem solving, sensory processing, stigma, difference, self compassion. Connect with others and yourself in a nurturing environment--practical tools and reflection on the unique challenges and strengths of","Los Angeles","90026","no","CA","https://www.psychologytoday.com/us/groups/adhd-group-los-angeles-ca/275823","group"
"Well Brain Body","Psychiatric Nurse Practitioner, PMHNP","adhd","Welcome to Well Brain & Body – a compassionate mental health and wellness practice founded by a team of dedicated professionals who proudly align with the LGBTQ+ and minority communities. We are deeply committed to providing holistic, inclusive, and affirming care for individuals from all walks of life.","Los Angeles","90017","no","CA","https://www.psychologytoday.com/us/groups/well-brain-body-los-angeles-ca/266125","group"
"Vista Mental Health","Psychiatrist, MD","adhd","","Los Angeles","90066","no","CA","https://www.psychologytoday.com/us/groups/vista-mental-health/270355","group"
"AuD/ADHD Support Group","Clinical Social Work/Therapist, LCSW , MPH","adhd","or a combo. We talk about all things neuro-divergent from work place conflicts, relationships and anything else that comes up as a neuro-spicy living in a neuro-conformist world. Group is currently closed.","Los Angeles","90042","no","CA","https://www.psychologytoday.com/us/groups/audadhd-support-group-los-angeles-ca/275539","group"
"Meridian Counseling","Marriage & Family Therapist, LMFT","adhd","At Meridian Counseling, our diverse team of providers specializes in a wide range of areas, including depression, anxiety, trauma, relationship and family issues,","Los Angeles","90064","no","CA","https://www.psychologytoday.com/us/groups/meridian-counseling-los-angeles-ca/245335","group"
"Therapy Lab","Clinical Social Work/Therapist, LCSW","adhd","Therapy Lab offers evidence-based services for everyday mental health concerns across the lifespan–like anxiety, burnout, insomnia, and parenting. We offer personalized CBT therapy plans and brief assessments for","Los Angeles","90017","no","CA","https://www.psychologytoday.com/us/groups/therapy-lab/258867","group"
"Women with Late Diagnosed ADHD Support Group","Marriage & Family Therapist Associate, MA, AMFT","adhd","'s role in our life. Led by a fellow late diagnosed ADHDer, sessions will focus on supporting your needs, identifying the accommodations needed to thrive, and psychoeducation (Answers to ""Does anyone else do this? Is this an","Los Angeles","90005","no","CA","https://www.psychologytoday.com/us/groups/women-with-late-diagnosed-adhd-support-group-los-angeles-ca/239874","group"
"Virtual Late-Diagnosed Therapy Group","Marriage & Family Therapist, MS","adhd","—self-diagnosis welcome.  This open, ongoing group meets weekly on Tuesdays from 5:15-6:45 pm PT for 90-minute sessions via secure SimplePractice. New members can join at the start of each month. Sessions are $60, with limited sliding-scale spots available. For more info and to sign up visit: https://buff.ly/EMwYCO2","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/virtual-late-diagnosed-therapy-group-los-angeles-ca/274843","group"
"Psychiatry Treatment Centers","Psychiatrist, MD","adhd","At Psychiatry Treatment Centers (PTC), we improve the mental well-being of our patients through a variety of techniques such as psychotherapy, medication management, TMS therapy, Esketamine Nasal Spray (Spravato®), telepsychiatry, and more. If you need help with your mental health, please request a consultation today.","Los Angeles","90028","no","CA","https://www.psychologytoday.com/us/groups/psychiatry-treatment-centers-los-angeles-ca/226912","group"
"{un}relatable: a support group for ADHD & AuDHDers","Marriage & Family Therapist, LMFT","adhd","Who: Adult ADHDers and AuDHDers who struggle with navigating interpersonal relationships; must be a resident of California                                                                                                                    What: An intimate space integrating IFS (Internal Family Systems) therapy, relational principles, and somatic interventions through a neurodiversity-affirming framework to access greater freedom and flow in our relationships                                      ","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/unrelatable-a-support-group-for-adhd-audhders-los-angeles-ca/292713","group"
"Vista Mental Health","Clinical Social Work/Therapist, LCSW","adhd","Our therapists and psychiatrists provide quality mental health care to our local community.","Los Angeles","90066","no","CA","https://www.psychologytoday.com/us/groups/vista-mental-health-los-angeles-ca/216848","group"
"Meridian Counseling","Pre-Licensed Professional, LMFT","adhd","At Meridian Counseling, we provide accessible, high-quality mental health care tailored to your unique needs. Our clinician-owned group practice offers a supportive, compassionate environment where you feel heard and understood. We offer individual, group, family, and couples therapy, as well as medication management and an Intensive Outpatient Program (IOP) for additional support.  We proudly accept all major insurance plans, including Medi-Cal and Medicare, to ensure financial barriers don’t p","Los Angeles","90064","no","CA","https://www.psychologytoday.com/us/groups/meridian-counseling-los-angeles-ca/245717","group"
"Vista Mental Health","Psychiatrist, DO","adhd","","Los Angeles","90066","no","CA","https://www.psychologytoday.com/us/groups/vista-mental-health-los-angeles-ca/270352","group"
"ADHD Support and Management","Marriage & Family Therapist Associate, AMFT, APCC","adhd",". The group promotes self-reflection, connection, and community while providing clients with tools to aid their own personal journey. Sessions consist of about 6-8 individuals, last about 90 minutes, and occur once per week.","Los Angeles","90035","no","CA","https://www.psychologytoday.com/us/groups/adhd-support-and-management-los-angeles-ca/287676","group"
"ADHD Support Group","Psychologist, PsyD","adhd",", but are looking for a safe space to process their experiences and receive support from a neurodiverse community. Contact me to learn more.","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/adhd-support-group-los-angeles-ca/222414","group"
"ADHD & Love - Skills Intensive","Marriage & Family Therapist, MA, LMFT","adhd","partners. In this group, you’ll learn how to turn misunderstandings into moments of connection, communicate without the constant friction, and feel more like a team again. Sliding scale spots are available upon need.","Los Angeles","90021","no","CA","https://www.psychologytoday.com/us/groups/adhd-love-skills-intensive-los-angeles-ca/228119","group"
"Spectrum Psych LA","Occupational Therapist, OTD, OTR/L","adhd","Spectrum Psych LA offers outpatient wraparound mental health care for neurodivergent (Autistic & ADHDer) individuals across the lifespan, including psychotherapy, occupational therapy, assessments, medication management, and support groups. Telehealth and in-person services available.","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/spectrum-psych-la-los-angeles-ca/257079","group"
"Woman's ADHD support group","Marriage & Family Therapist, LMFT","adhd","to connect, learn, and grow together. Through psychoeducation, guided discussion, and group process, we'll explore executive functioning, emotional regulation, shame, grief, depression, relationships, family dynamics, masking, self-esteem, and practical coping strategies. Share experiences, gain insight, and build meaningful peer connections with women who truly understand. Facilitated by Michelle Howard, LMFT, this group combines evidence-based education with compassionate support to help you b","Los Angeles","90064","no","CA","https://www.psychologytoday.com/us/groups/womans-adhd-support-group-los-angeles-ca/291456","group"
"Re-Focus: Thriving with Adult ADHD","Psychologist, PsyD, PhD, MFT, LCSW","adhd","is a neurological condition that alters your ability to maintain focus, stay organized, and shut out all the ""extra noise"" in your environment.  Re-focus is a 6-week group where adults with","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/re-focus-thriving-with-adult-adhd-los-angeles-ca/211292","group"
"Neurodivergent Teen Support Group","Marriage & Family Therapist, LMFT","adhd","A supportive space for teens 14-17 who identify as neurodivergent and are looking for extra understanding, connection, and support. In this group, we'll explore practical ways to manage stress, anxiety, and burnout, learn real-world coping skills, and connect with peers who “get it” and create authentic friendships. This group is designed to help teens feel less alone, gain tools they can use right away, and discover their strengths within a safe, validating community.","Los Angeles","90046","no","CA","https://www.psychologytoday.com/us/groups/neurodivergent-teen-support-group-los-angeles-ca/272704","group"
"ADHD Support Group for Women","Psychologist, PsyD","adhd","often presents differently in women, frequently going unnoticed, misdiagnosed, or misunderstood. Whether you're newly diagnosed or have been managing it for years, this virtual support group is a safe space to process challenges, celebrate strengths, and build community with others who truly get it.","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/adhd-support-group-for-women-los-angeles-ca/264786","group"
"Vista Mental Health","Psychiatrist, MD","adhd","","Los Angeles","90066","no","CA","https://www.psychologytoday.com/us/groups/vista-mental-health-los-angeles-ca/86069","group"
"Meridian Counseling","Licensed Professional Counselor, LPCC","adhd","","Los Angeles","90064","no","CA","https://www.psychologytoday.com/us/groups/meridian-counseling/280471","group"
"Executive Function Lab","Licensed Professional Counselor, LPC, LPCC, LMHC","adhd","Tools for Focus, Flow, and Finally Doing the Thing. This is a neurodivergent-affirming group for ADHDers who feel overwhelmed by life, and are looking for practical tools and support from people who get it. This group is a safe space to be messy. Bring your doom piles, unfinished projects, and stories of that embarrassing thing you said 5 years ago that still haunts you at night. (IYKYK...) Open to adults in WA, CA, and OR. No formal diagnosis is required to attend.","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/executive-function-lab-los-angeles-ca/268310","group"
"Unmasking Gently - An IFS relational process group","Marriage & Family Therapist Associate, MS, AMFT","autism","women describe a lifetime of masking, learning how to blend in, read rooms, and script conversations. You may have been called “high functioning,” a term that often overlooks the immense effort required to push through sensory or social exhaustion. This is an 8-week relational process group is for women in their 30s-40s. Integrating Internal Family Systems (IFS), we will get curious about the protective parts of your system, the ones that learned to mask, people-please, and monitor the world to ","Los Angeles","90042","no","CA","https://www.psychologytoday.com/us/groups/unmasking-gently-an-ifs-relational-process-group-los-angeles-ca/288208","group"
"Friendly Group Therapy","Marriage & Family Therapist, LMFT, MAx2, BS","autism","Cat got your tongue when you're in social situations?  Feel like you're always evaluating and reevaluating your friend group?  Wondering if you're giving ""ick"" vibes?  Don't have any friends at all?  Well then come on down to this very friendly group and see if you can reap some confidence for your everyday life!  My group focuses on the difficulties, nuances, and how-tos of social interactions, and ideally gives you the knowledge and courage to start having/being fun out in the world.","Los Angeles","90049","no","CA","https://www.psychologytoday.com/us/groups/friendly-group-therapy-los-angeles-ca/292578","group"
"Clay Decompress","Marriage & Family Therapist, MA, LMFT, ATR","autism","Clay Decompress:  Exploring how clay can be integrated as a tool for self-soothing the nervous system and as a practice for self-compassion.  Relating with others around the challenges of daily living. All materials included.                                                            Sunday, June 7th from 5 - 7 pm  Sooki Studio - Frogtown: 2971 Allesandro St, Los Angeles 90039  For adults, 18+ , no art experience necessary  Sliding Scale: $65 - $105","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/clay-decompress-los-angeles-ca/279032","group"
"Unmasking Gently","Marriage & Family Therapist, MA, LMFT","autism",", but to cultivate self-understanding, compassionate internal relationships, and connections with others who share your experience. A formal diagnosis is not required. Led by Gabriella Elise Giorgio, AMFT #140682, IFS Level 1. Supervised by Sharon Yu, LMFT #50028.","Los Angeles","90042","no","CA","https://www.psychologytoday.com/us/groups/unmasking-gently/288228","group"
"Compassionate ABA LLC","","autism","and developmental needs. I provide parent training, behavior support, and individualized guidance focused on functional communication, positive routines, safety, and independence. Services are culturally responsive and designed to help families apply effective strategies in everyday life.","Norwalk","90650","no","CA","https://www.psychologytoday.com/us/groups/compassionate-aba-llc-norwalk-ca/234464","group"
"social skills","Marriage & Family Therapist, MA, MS, MFT","autism","","Encino","91436","no","CA","https://www.psychologytoday.com/us/groups/social-skills-encino-ca/27434","group"
"Parent Support/Autism /Social Skills/IEP Process","Counselor, MS, LPCC","autism","Spectrum Disorder. If you are a parent, caregiver, grandparent, sibling or on the spectrum yourself, you are welcome. We will hear from professionals as well as share our own stories. Even if your child/teen (or yourself) have not been identified as on the spectrum but struggle with social communication and interaction, you are welcome! If your son/daughter (or yourself) have some other processing gift (ADHD, SPD, PDD-NOS etc), you are welcome. Let's meet and change the conversation. It is time ","Glendora","91741","no","CA","https://www.psychologytoday.com/us/groups/parent-supportautism-social-skillsiep-process-glendora-ca/177777","group"
"Parenting group for parents of kids w/ Autism/ADHD","Clinical Social Work/Therapist, LCSW","autism","and/or ADHD. As the parent of a child with both diagnoses I understand the need for developing connections with other parents. This group is a mix of tangible behavioral strategies that you can implement in the home as well as a safe place to express your emotions.","Woodland Hills","91367","no","CA","https://www.psychologytoday.com/us/groups/parenting-group-for-parents-of-kids-w-autismadhd-woodland-hills-ca/189673","group"
"Teen to Young Adults- The Gathering Place","Marriage & Family Therapist, MA, LMFT","autism",", 2 groups each age group: 13-17 years (Sat) 18-22 (Thurs) and (Wed) forming.A closed group meets once a week for 24 weeks to model and create friendships while learning the tools need to generalize in group members' natural environment. Parent participation once a month. *Vendored-Westside Regional funding is available. Contact for further information and setting up an initial assessment. ** See website linked to Psychology Today site","Lawndale","90260","no","CA","https://www.psychologytoday.com/us/groups/teen-to-young-adults-the-gathering-place-lawndale-ca/60773","group"
"Discovery Psychological Assessment Center, Inc.","Psychologist, PsyD, BCBA","autism",", ADHD, intellectual disability, depressive disorders, anxiety disorders, learning disorders, OCD, and more. We are committed to helping individuals understand their psychological well-being and guiding them toward appropriate interventions and support. Our goal is to reduce the wait times for a psychological evaluation from months to just a few short weeks. Schedule a free consultation at www.dpacinc.com.","Redondo Beach","90278","no","CA","https://www.psychologytoday.com/us/groups/discovery-psychological-assessment-center-inc-redondo-beach-ca/260221","group"
"Compassionate Solutions","","autism","Our team of Educational Psychologists, a Clinical Psychologist, Marriage Family Therapists and Licensed Clinical Social Workers offer assessment and therapy for children, teens, and adults Monday through Saturday.  Our offices are located in a house that has been converted to therapy offices in Newhall that provide an additional level of comfort and security for our clients.                                           We have space for rent; currently full day Friday and Saturday. More space will ","Newhall","91321","no","CA","https://www.psychologytoday.com/us/groups/compassionate-solutions-newhall-ca/97768","group"
"Virtual Neurodivergent Group (CA, UT, & FL)","Marriage & Family Therapist, MA, LMFT","autism","A virtual process group for neurocomplex adults in California, Utah, & Florida. This group isn’t about changing or masking—it’s about being. Together, we’ll share experiences, build connection, and explore what it’s like to be in community with others who get it. There’s no teaching, just space to show up as you are. This group celebrates neurodivergence and invites authenticity, curiosity, and mutual support. Whether you’re diagnosed or self-identified, you’re welcome here. Let’s create a space","Manhattan Beach","90266","no","CA","https://www.psychologytoday.com/us/groups/virtual-neurodivergent-group-ca-ut-fl-manhattan-beach-ca/245132","group"
"Bridal Support Group","Pre-Licensed Professional, AMFT","anxiety","Are you a bride struggling with your mental health? Virtual group therapy for brides confronting stressors that come with wedding planning. As a 2022 bride that made it through & therapist with clinical expertise, I am here to help. We will discuss the many pitfalls of the wedding planning process, taking care of your mental health, & building a community of brides for support. My practice is a safe space for clients of all cultural backgrounds, genders, religious affiliations, and sexual identi","Los Angeles","90068","no","CA","https://www.psychologytoday.com/us/groups/bridal-support-group-los-angeles-ca/219315","group"
"How to Befriend Yourself (and Others)","Marriage & Family Therapist, MA, LMFT","anxiety",", insomnia and help you work more effectively with difficult emotions                                                                                                                                                                                                                                         
                                                                                                                                                   Week 1: How to Befriend Yourself Using Mindfulness","Los Angeles","90017","no","CA","https://www.psychologytoday.com/us/groups/how-to-befriend-yourself-and-others-los-angeles-ca/211260","group"
"Healthy Wealthy Love: Process Group for Women","Marriage & Family Therapist, LMFT","anxiety","Healthy Wealthy Love is a therapeutic support group for women who feel stuck in cycles of self-criticism, scarcity, and loneliness. If you’ve ever felt like you “should” be further along but still struggle with low self-worth, crushing debt, and maintaining relationships, this group offers a supportive space to explore underlying patterns and create change from within. Together, we’ll process limiting beliefs, build emotional resilience, and practice new ways of relating to yourself and others.","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/healthy-wealthy-love-process-group-for-women-los-angeles-ca/274984","group"
"Brainspotting Group- Healing Trauma and Anxiety","Associate Professional Clinical Counselor, APCC","anxiety",", depression, relationship issues, avoidance, nightmares, and flashbacks. Using Brainspotting, a somatic therapy that targets where trauma is stored in the brain, you’ll process deep emotional pain that talk therapy often can’t reach. Each session blends psychoeducation, group discussions, and Brainspotting exercises to help alleviate trauma symptoms and activate the brain’s natural healing abilities. Connect with others on a similar journey, share experiences, and work through challenges in a s","Los Angeles","90039","no","CA","https://www.psychologytoday.com/us/groups/brainspotting-group-healing-trauma-and-anxiety-los-angeles-ca/274695","group"
"Men's Process Group","Marriage & Family Therapist, LMFT, MSIO, MACP","anxiety","A weekly virtual men’s group offers peer support, challenging and empowering men navigating similar experiences. Most men lack genuine peer support due to workplace culture and superficial friendships. This group provides a structured, confidential space to address recurring obstacles, develop self-awareness, and build honest relationships that foster growth and presence. Dave, with his dual training in organizational and clinical psychology, addresses pressures in professional and personal life","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/mens-process-group-los-angeles-ca/291914","group"
"Anti-capitalist struggles in a pro-capital economy","Marriage & Family Therapist, MA, LMFT","anxiety","This group meets once per month, and is a collaborative therapeutic space to discuss how living in a capitalist-oriented culture can leave us feeling depressed, misunderstood, isolated, and excluded. The influence of individualism, self-sufficiency, and pressure to be productive can result in us feeling like we are failures for not measuring up to standards that don’t align with our personal belief systems and worldviews.","Los Angeles","90036","no","CA","https://www.psychologytoday.com/us/groups/anti-capitalist-struggles-in-a-pro-capital-economy-los-angeles-ca/164265","group"
"OCD Group Therapy","Clinical Social Work/Therapist, LCSW, LPCC","anxiety","","Los Angeles","90025","no","CA","https://www.psychologytoday.com/us/groups/ocd-group-therapy-los-angeles-ca/38871","group"
